Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Is_Split,Is_Dividend,Log_Ret,RSI,MACD,MACD_Signal,Volatility,Sentiment_Decay,Semantic_PCA_1,Semantic_PCA_2,Semantic_PCA_3,Semantic_PCA_4,Semantic_PCA_5,Semantic_PCA_6,Semantic_PCA_7,Semantic_PCA_8,Semantic_PCA_9,Semantic_PCA_10,Sector_Ret,Sector_Vol,Rolling_Beta,Target_Direction
2015-03-02,0.6530114014234533,0.6434138620441014,0.6401658044725287,0.6397246440936507,0.04984932033837611,0.0,0.0,0,0,0.2818994678133487,0.6878431294469983,0.4478358972884724,0.4157783878711597,0.3161289666945857,0.5787298522421793,0.9085503329515965,0.5814081442897113,0.5381595111113776,0.3950222038908262,0.43459050952843914,0.5182062710282415,0.34641194645767603,0.5839753120549291,0.5199913998960791,0.5371762236061346,0.5243850848113139,0.3969829055858529,1.0,0
2015-03-03,0.6424888730929376,0.6412140577447014,0.6532677380891061,0.6423129464823466,0.047172136528637755,0.0,0.0,0,0,0.26679715242566787,0.6398884490774414,0.46288388275957953,0.4236859964925451,0.3159752901288413,0.5463089719815948,0.634962640399553,0.70755837363412,0.4805107481735362,0.422158356392545,0.33197278966150845,0.4476893831532111,0.43988263355643975,0.583013144707284,0.5568730166672948,0.4520910356879616,0.6159087079276351,0.4526881902946164,1.0,0
2015-03-04,0.6885239402772235,0.6834455447798975,0.6196387467777524,0.6045637311672124,0.1403721409218926,0.0,0.0,0,0,0.17205143485210805,0.5541745894845795,0.4562474400696661,0.42855275928120495,0.32071652516525984,0.5872704114691694,0.5529379334803465,0.5339231974407317,0.5046118923644495,0.6116955110964384,0.45988466177736304,0.5402721628450681,0.4245309524015018,0.5435738235435528,0.5456690461915445,0.5587545029188294,0.47385276877133975,0.44008495372595946,1.0,0
2015-03-05,0.604126244745049,0.6009621472322371,0.6098121041485234,0.6043479285198413,0.05644314764798575,0.0,0.0,0,0,0.26027996381655794,0.570979559297673,0.4517366629164031,0.43145426976174395,0.3109655051708553,0.5990946190238524,0.6063944132254281,0.629313104244794,0.49737079755966135,0.6025139325174744,0.41948325850038576,0.5411253373548133,0.4129968612757964,0.5014721765279678,0.49901539716587023,0.5623908661436458,0.7174526664198142,0.4359231594495476,1.0,0
2015-03-09,0.5920697567520331,0.5910644681611512,0.605226716076551,0.5907585655076616,0.04261245375847904,0.0,0.0,0,0,0.2281941417442985,0.2602979047714738,0.44215880378330435,0.43166934969855103,0.31196241987548445,0.6544748938232605,0.7444121654926962,0.6285688323032256,0.4345095961393223,0.5175600599463708,0.43592472387583564,0.5874413586112718,0.4040398514564878,0.5313935513614431,0.5461133714789757,0.5142857888594199,0.540524930749073,0.3660887610760192,1.0,0
2015-03-10,0.58658927252143,0.5877650166747881,0.5895039684735737,0.5776002169547766,0.04593051244669965,0.0,0.0,0,0,0.22888969809041504,0.2381812290941131,0.42893879512446503,0.4289343927858918,0.3138091547637353,0.6516198258228789,0.7046633569158236,0.65508586831946,0.4718659266821907,0.5163028697761419,0.44268644675165236,0.5063405630851685,0.3950754183427382,0.5194082326201942,0.6006554610962737,0.5639644874165046,0.5124269442091515,0.4212775650006215,1.0,0
2015-03-11,0.5769437695464249,0.57742707221041,0.5836079650144825,0.5670303923538803,0.05462218418862205,0.0,0.0,0,0,0.2349200856498808,0.22776433975449573,0.4143289648170256,0.42353379082022463,0.2902035956438874,0.6537916212245054,0.536565052216882,0.5748660750902679,0.5315971312612322,0.5033119985725372,0.3943941391911502,0.6339455576621484,0.5205516127482461,0.6403678289525474,0.5092324439630884,0.566952794386258,0.47491091880317077,0.42218850185112966,1.0,0
2015-03-12,0.5751899344574424,0.5710482921585012,0.5938712189595894,0.5743644327695357,0.030217054804158122,0.0,0.0,0,0,0.2787719462081342,0.2832992222202007,0.4078786808368778,0.4177949206081152,0.27707228451446064,0.597826635634217,0.8284329100754848,0.757895419373444,0.5478097879399708,0.3363853187150316,0.3931123801498236,0.5942433677005645,0.48838658746954433,0.5762626339164564,0.4402185306004129,0.49369222990252803,0.6366368709155867,0.41931898990553707,1.0,0
2015-03-13,0.583300884728463,0.5780867441055768,0.5672300872736229,0.5480478095181965,0.04343540234121034,0.0,0.0,0,0,0.19578553468980217,0.23824555037416667,0.39082502008641495,0.40945380060287545,0.2849041064150546,0.5620813775446318,0.7568612442976214,0.6279834420234228,0.5383129698997373,0.33353374102297983,0.2805550699830672,0.531158159205362,0.5210508568676284,0.48100219743064093,0.39751749782685664,0.49330740010791224,0.4885484868847515,0.39129451992383324,1.0,0
2015-03-16,0.5460345273984023,0.546413358710085,0.5672302379524878,0.5519307062278266,0.05003096423432342,0.0,0.0,0,0,0.2704749946961065,0.2959330369717879,0.3809772725007552,0.400615428885692,0.2846272135792669,0.6016047279455672,0.6838699849048434,0.6762998586053522,0.5370596153070887,0.2725003072638932,0.38568478691760055,0.849602942583241,0.6040772646308615,0.5008611632431031,0.526386640851884,0.5981106533096145,0.43195106717024734,0.39150613044598637,1.0,0
